loinc_number,long_common_name,short_name,modality,anatomic_location,synonyms_count,top_synonyms
46352-1,MG Breast duct Views during surgery W contrast intra duct,MG Brst duct Vs in Surg W cont intra Dct,MG,Breast; Unspecified; True,32,Brst; Brst duct; Brst.duct; c; Contr
46354-7,FFD mammogram Breast - right Screening,FFDM Brst-R screening,MG,Breast; True; Right,20,Asympt; Asymptomatic; Brst; Brst-R; Document
46355-4,FFD mammogram Breast - left Screening,FFDM Brst-L screening,MG,Breast; True; Left,20,Asympt; Asymptomatic; Brst; Brst-L; Document
46356-2,MG Breast - unilateral Screening,MG Brst-Ul screening,MG,Breast; Unilateral; True,16,Asympt; Asymptomatic; Brst; Brst-Ul; Document
46357-0,RF Colon Views W air contrast PR,RF Colon Views W Air contr PR,RF,Abdomen; Pelvis,27,Abd; Abd+Pelvis; Abdo; Abdominal; Barium Enema
46358-8,MR Whole body,MR Whole body,MR,Whole Body,13,bod; Bodies; Document; Finding; Findings
46359-6,MRA Superior mesenteric vessels,MRA SM ves,MR,Abdomen,29,Abd; Abdo; Abdomen+; Abdominal; Ang
46360-4,MRA Aortic arch WO and W contrast IV,MRA Ao arch WO+W contr IV,MR,Chest,32,Ac arch; Ang; Angio; Angiography; AO
46361-2,NM Lung Ventilation W Xe-133 IH,NM Lung V W 133Xe IH,NM,Chest; Unspecified; True,20,Document; Films; Finding; Findings; Imaging
46362-0,US.doppler Foot vessels,DOP Ft ves,US,Lower extremity; Unspecified; True,27,Cardio; Cardiology; Document; DOP; DUPLEX
46363-8,US Lower extremity vein,US LE v,US,Lower extremity; Unspecified; True,24,Cardio; Cardiology; Document; Echography; EXT
46364-6,US Lower extremity vein - bilateral,US LE v-Bl,US,Lower extremity; True; Bilateral,30,Bil; Bilat; Both; Cardio; Cardiology
46365-3,CT Guidance for ablation of tissue of Celiac plexus,CT Guided Celiac plexus Ablation,CT,Abdomen,19,Abd; Abdo; Abdomen+; Abdominal; CAT scan
46366-1,SPECT guidance for percutaneous biopsy of Bone,SPECT Bone PC Bx W RNC IV,NM,XXX,23,BON; Bx; Document; Finding; Findings
46369-5,US Guidance for biopsy of Ovary,US Guided Ovary Bx,US,Pelvis; Unspecified; True,24,Bx; Document; Echography; Finding; Findings
46370-3,US Guidance for biopsy of Pelvis,US Guided Pelvis Bx,US,Pelvis,18,Bx; Document; Echography; Finding; Findings
46371-1,XR Guidance for change of percutaneous tube in Unspecified body region-- W contrast,XR Guided PC tube change--W contr,XR,,29,c; Contr; Contra; Contrst; Document
46372-9,RF Guidance for percutaneous drainage and placement of drainage catheter of Biliary ducts,RF Guided BDs PC drn+cath place,RF,Abdomen,28,Abd; Abdo; Abdomen+; Abdominal; BDs
46373-7,SPECT Guidance for placement of tube in Chest,SPECT Guided Chest Tube place--W RNC IV,NM,Chest,18,Document; Finding; Findings; Guid; Guide
46374-5,US Cerebral arteries,US Cerebral aa,US,Head,25,Brain; Cardio; Cardiology; Cereb; Cerebral aa
46375-2,US Artery,US Artery,US,XXX,20,Art; Document; Echography; Finding; Findings
46376-0,RF Kidney - bilateral Views W contrast antegrade,RF Kdny-Bl Views W contr Ante,RF,True; Abdomen; Bilateral,37,Abd; Abdo; Abdomen+; Abdominal; Bil
46377-8,XR Skull GE 3 Views,XR Skull GE 3V,XR,Head,23,Brain; Cranial; Cranium; Document; Films
46378-6,XR Knee - bilateral PA Views W standing and W flexion,XR Knee-Bl Views PA W stand+W flx,XR,Lower extremity; True; Bilateral,38,Bil; Bilat; Both; Document; EXT
46379-4,US.doppler Upper extremity vessels - bilateral,DOP UE ves-Bl,US,Upper extremity; True; Bilateral,33,Arm; Arm and hand vessels; Bil; Bilat; Both
46380-2,MG Breast - unilateral Views for implant,MG Brst-Ul Views for implant,MG,Breast; Unilateral; True,13,Brst; Brst-Ul; Document; Films; Finding
46381-0,XR Elbow and Radius and Ulna Views,XR Elbow+Radius+Ulna Views,XR,Upper extremity; Unspecified; True,25,Arm; Document; EXT; Films; Finding
46382-8,US.doppler Hand vessels,DOP Hand ves,US,Upper extremity; Unspecified; True,25,Arm; Cardio; Cardiology; Document; DOP
46384-4,SPECT Guidance for superficial biopsy of Bone,SPECT Guided Bone Super Bx--W RNC IV,NM,XXX,23,BON; Bx; Document; Finding; Findings
46385-1,US.doppler Upper extremity vessel for graft,DOP UE ves for graft,US,Upper extremity; Unspecified; True,25,Arm; Cardio; Cardiology; Document; DOP
46386-9,XR Teeth Bitewing Views,XR Teeth Views bitewing,XR,Head,20,Brain; Cranial; Cranium; Document; Films
46387-7,MG Guidance for fine needle aspiration of Breast,MG Guided Brst FNA,MG,Breast; Unspecified; True,16,Asp; Brst; Document; Finding; Findings
46388-5,US.doppler Thoracic and abdominal aorta,DOP TA + AA,US,Chest; Abdomen,26,Ab Ao; Abd; Abd Aorta; Abdo; Abdomen
46389-3,XR Elbow - bilateral Views and Radial head capitellar,XR Elbow-Bl Views+Radial head capitellar,XR,Upper extremity; True; Bilateral,37,Arm; Berquist; Bil; Bilat; Both
46390-1,XR Ankle - left GE 3 Views,XR Ankle-L GE 3V,XR,Lower extremity; True; Left,32,Ankle-L; Document; EXT; Extr-L; Films
46391-9,Portable XR Shoulder Views,XR port Should Views,XR,Upper extremity; Unspecified; True,24,Arm; Document; EXT; Films; Finding
46392-7,RF Guidance for injection of Sinuses,RF Guided Sinuses Inj,RF,Head,22,Brain; Cranial; Cranium; Document; Finding
46393-5,CT Liver W Xe-133 IH,CT Liver W 133Xe IH,CT,Abdomen,22,Abd; Abdo; Abdomen+; Abdominal; CAT scan
46395-0,SPECT Heart gated and ejection fraction at rest and W stress and W radionuclide IV,SPECT Hrt Gated+EF Rest+stress+W RNC IV,NM,Chest,29,Cardiac; Cardio; Cardiology; Document; EF
46396-8,SPECT Heart gated at rest and W Tc-99m Sestamibi IV,SPECT Hrt Gated Rest+W Tc99mMIBI IV,NM,Chest,28,99 mTC; 99mTc; Cardiac; Cardio; Cardiolite
47366-0,CT Chest limited WO contrast,CT Chest Ltd WO contr,CT,Chest,20,c; CAT scan; Computed tomography; Computerized tomography; Contr
47367-8,XR and RF Chest GE 4 Views and Views,XR and Flr Chest GE 4V + Views,XR; RF,Chest,32,Cardio; Cardiology; CorePlaybook; CXR; Document
47368-6,XR Chest GE 4 and PA and Lateral,XR Chest GE 4+PA+Lat,XR,Chest,28,Cardio; Cardiology; CXR; Document; Films
47370-2,XR Hand - left GE 3 Views,XR Hand-L GE 3V,XR,Upper extremity; True; Left,32,Arm; Document; EXT; Extr-L; Films
47371-0,XR Hand - right GE 3 Views,XR Hand-R GE 3V,XR,Upper extremity; True; Right,32,Arm; Document; EXT; Extr-R; Films
47372-8,XR Hip Views during surgery,XR Hip Views in Surg,XR,Lower extremity; Unspecified; True,29,Document; EXT; Films; Finding; Findings
47373-6,XR Knee - left 1 or 2 Views,XR Knee-L 1V or 2V,XR,Lower extremity; True; Left,34,1V or 2V; Document; EXT; Extr-L; Films
47374-4,XR Knee - left GE 4 Views,XR Knee-L GE 4V,XR,Lower extremity; True; Left,32,Document; EXT; Extr-L; Films; Finding
47375-1,XR Knee - right 1 or 2 Views,XR Knee-R 1V or 2V,XR,Lower extremity; True; Right,34,1V or 2V; Document; EXT; Extr-R; Films
47376-9,XR Knee - right GE 4 Views,XR Knee-R GE 4V,XR,Lower extremity; True; Right,32,Document; EXT; Extr-R; Films; Finding
47377-7,XR Knee - right LE 4 Views,XR Knee-R LE 4V,XR,Lower extremity; True; Right,31,Document; EXT; Extr-R; Films; Finding
47378-5,SPECT Liver blood pool,SPECT Liver BP W RNC IV,NM,Abdomen,19,Abd; Abdo; Abdomen+; Abdominal; BP
47379-3,XR Mandible GE 4 Views,XR Mandible GE 4V,XR,Unspecified; True; Head,25,Brain; CorePlaybook; Cranial; Cranium; Document
47380-1,XR Mandible LE 3 Views,XR Mandible LE 3V,XR,Unspecified; True; Head,27,Brain; CorePlaybook; Cranial; Cranium; Document
47381-9,XR Mastoid GE 3 Views,XR Mastoid GE 3V,XR,Unspecified; True; Head,22,Brain; Cranial; Cranium; Document; Films
47382-7,XR Lumbar spine GE 4 Views,XR L-spine GE 4V,XR,Abdomen,28,Abd; Abdo; Abdomen+; Abdominal; CorePlaybook
47983-2,XR Mastoid - bilateral 1 or 2 Views,XR Mastoid-Bl 1V or 2V,XR,True; Bilateral; Head,29,1V or 2V; Bil; Bilat; Both; Brain
47984-0,XR Pelvis and Spine Lumbar Views,XR Pelvis+L-spine Views,XR,Abdomen; Pelvis,26,Abd; Abdo; Abdomen+; Abdominal; Document
47985-7,CT Spine W contrast IT,CT Spine W contr IT,CT,XXX,28,c; CAT scan; Computed tomography; Computerized tomography; Contr
47986-5,RFA Lower extremity arteries - left Views W contrast IA,RFA LE aa-L Views W contr IA,RF,Lower extremity; True; Left,32,Arteriogram; c; Contr; Contra; Contrst
47987-3,RFA Lower extremity arteries - right Views W contrast IA,RFA LE aa-R Views W contr IA,RF,Lower extremity; True; Right,32,Arteriogram; c; Contr; Contra; Contrst
48433-7,XR Calcaneus - bilateral 2 Views,XR Heel-Bl 2V,XR,Lower extremity; True; Bilateral,33,2V; 2VW; Bil; Bilat; Both
48434-5,US Guidance for fluid aspiration of Kidney,US Guided Kidney PC fluid asp,US,Unspecified; True; Abdomen,28,Abd; Abdo; Abdomen+; Abdominal; Asp
48435-2,RF Guidance for injection of Salivary gland - bilateral,RF Guided Salivary gland-Bl Inj,RF,True; Bilateral; Head,24,Bil; Bilat; Both; Brain; Cranial
48436-0,MR Lumbar spine W contrast IT,MR L-spine W contr IT,MR,Abdomen,28,Abd; Abdo; Abdomen+; Abdominal; c
48439-4,MR Thoracic spine W contrast IT,MR T-spine W contr IT,MR,Chest,24,c; Contr; Contra; Contrst; Document
48440-2,MR Skull base W contrast IV,MR Skull.base W contr IV,MR,Head,22,Brain; c; Contr; Contra; Contrst
48441-0,MR Thoracic spine WO and W contrast IT,MR T-spine WO+W contr IT,MR,Chest,28,c; Contr; Contra; Contrst; Document
48442-8,CT Spine WO and W contrast IT,CT Spine WO+W contr IT,CT,XXX,32,c; CAT scan; Computed tomography; Computerized tomography; Contr
48443-6,CT Nasopharynx WO and W contrast IV,CT Nasopharynx WO+W contr IV,CT,Head; Neck,27,Brain; c; CAT scan; Computed tomography; Computerized tomography
48444-4,MR Brain.temporal W contrast IV,MR Brain.temporal W contr IV,MR,Head,24,Brain; c; Cerebral; Cerebrum; Contr
48445-1,MR Larynx WO contrast,MR Larynx WO contr,MR,Head; Neck,20,Brain; c; Contr; Contra; Contrst
48446-9,CT Nasopharynx W contrast IV,CT Nasopharynx W contr IV,CT,Head; Neck,23,Brain; c; CAT scan; Computed tomography; Computerized tomography
48447-7,MR Cervical spine W contrast IT,MR C-spine W contr IT,MR,Neck,23,c; C/sp; Cerv; Contr; Contra
48448-5,US Upper extremity artery,US UE a,US,Upper extremity; Unspecified; True,23,Arm; Art; Cardio; Cardiology; Document
48449-3,CT Orbit W contrast IV,CT Orbit W contr IV,CT,Unspecified; True; Head,25,Brain; c; CAT scan; Computed tomography; Computerized tomography
48450-1,MR Cervical spine WO and W contrast IT,MR C-spine WO+W contr IT,MR,Neck,27,c; C/sp; Cerv; Contr; Contra
48451-9,CT Orbit WO and W contrast IV,CT Orbit WO+W contr IV,CT,Unspecified; True; Head,29,Brain; c; CAT scan; Computed tomography; Computerized tomography
48452-7,MR Lumbar spine WO and W contrast IT,MR L-spine WO+W contr IT,MR,Abdomen,32,Abd; Abdo; Abdomen+; Abdominal; c
48453-5,MR Brain.temporal WO contrast,MR Brain.temporal WO contr,MR,Head,23,Brain; c; Cerebral; Cerebrum; Contr
48454-3,MR Clavicle - right WO and W contrast IV,MR Clavicle-R WO+W contr IV,MR,Chest; True; Right,25,c; Clavicle-R; Contr; Contra; Contrst
48455-0,MR Clavicle - left WO and W contrast IV,MR Clavicle-L WO+W contr IV,MR,Chest; True; Left,25,c; Clavicle-L; Contr; Contra; Contrst
48456-8,MR Clavicle - right W contrast IV,MR Clavicle-R W contr IV,MR,Chest; True; Right,21,c; Clavicle-R; Contr; Contra; Contrst
48457-6,MR Clavicle - left W contrast IV,MR Clavicle-L W contr IV,MR,Chest; True; Left,21,c; Clavicle-L; Contr; Contra; Contrst
48458-4,MR Clavicle - right WO contrast,MR Clavicle-R WO contr,MR,Chest; True; Right,20,c; Clavicle-R; Contr; Contra; Contrst
48459-2,MR Clavicle - left WO contrast,MR Clavicle-L WO contr,MR,Chest; True; Left,20,c; Clavicle-L; Contr; Contra; Contrst
48460-0,MR Unspecified body region limited,MR Ltd Unsp region,MR,,18,Document; Finding; Findings; Imaging; LMTED
48461-8,MR Neck limited,MR Neck Ltd,MR,Neck,12,Document; Finding; Findings; Imaging; LMTED
48462-6,XR Knee - left AP,XR Knee-L AP,XR,Lower extremity; True; Left,33,1V; Anterio-Posterior; Anteroposterior; Document; EXT
48463-4,XR Knee - right AP,XR Knee-R AP,XR,Lower extremity; True; Right,33,1V; Anterio-Posterior; Anteroposterior; Document; EXT
48464-2,RF Trachea Views,RF Trachea Views,RF,Neck; Chest,17,Document; Films; Finding; Findings; Fluor
48465-9,RF Larynx Views,RF Larynx Views,RF,Head; Neck,19,Brain; Cranial; Cranium; Document; Films
48466-7,XR Skull Limited Views,XR Skull Views Ltd,XR,Head,23,Brain; Cranial; Cranium; Document; Films
48467-5,XR Sacroiliac Joint 1 or 2 Views,XR SIJ 1V or 2V,XR,Pelvis; Unspecified; True,24,1V or 2V; Document; Films; Finding; Findings
48468-3,XR Ribs - bilateral 2 Views and Chest PA,XR Ribs 2V + Chest PA,XR,Chest; True; Bilateral,36,1V; 2V; 2V + 1V; 2V + PA; 2VW
48469-1,XR Lumbar spine 2 or 3 Views,XR L-spine 2V or 3V,XR,Abdomen,31,2V; 2V or 3V; 2VW; Abd; Abdo
48470-9,XR Mastoid - left 3 Views,XR Mastoid-L 3V,XR,True; Left; Head,25,3V; 3VW; Brain; Cranial; Cranium
48471-7,XR Mastoid - right 3 Views,XR Mastoid-R 3V,XR,True; Right; Head,25,3V; 3VW; Brain; Cranial; Cranium
48472-5,XR Thoracic spine 3 Views and Swimmers,XR T-spine 3V+Swimmers,XR,Chest,25,3V; 3V+Swimmers; 3VW; CXR; Document
48473-3,XR Spine Lumbar and Sacrum 4 Views,XR L-spine+Sacrum 4V,XR,Abdomen; Pelvis,30,4V; 4VW; Abd; Abdo; Abdomen+
48474-1,XR Hand - bilateral AP and Lateral,XR Hand-Bl AP+Lat,XR,Upper extremity; True; Bilateral,38,Anterio-Posterior; Anteroposterior; AP+Lat; Arm; Bil
48475-8,MG Breast - bilateral Diagnostic for implant,MG Brst-Bl Dx for implant,MG,Breast; True; Bilateral,21,Bil; Bilat; Both; Breast-Bl; Breasts
48476-6,XR Foot - right GE 3 Views,XR Foot-R GE 3V,XR,Lower extremity; True; Right,33,Document; EXT; Extr-R; Films; Finding
48477-4,XR Foot - left GE 3 Views,XR Foot-L GE 3V,XR,Lower extremity; True; Left,32,Document; EXT; Extr-L; Films; Finding
48478-2,XR Foot - bilateral GE 3 Views,XR Foot-Bl GE 3V,XR,Lower extremity; True; Bilateral,33,Bil; Bilat; Both; Document; EXT
48479-0,XR Facial bones GE 3 Views,XR Face GE 3V,XR,Head,25,Brain; CorePlaybook; Cranial; Cranium; Document
48480-8,XR Ankle - bilateral GE 3 Views,XR Ankle-Bl GE 3V,XR,Lower extremity; True; Bilateral,33,Ankle-Bl; Ankles; Bil; Bilat; Both
48481-6,XR Elbow - bilateral GE 3 Views,XR Elbow-Bl GE 3V,XR,Upper extremity; True; Bilateral,33,Arm; Bil; Bilat; Both; Document
48482-4,XR Sternoclavicular joint - bilateral GE 3 Views,XR SC joint-Bl GE 3V,XR,Chest; True; Bilateral,29,Bil; Bilat; Both; CorePlaybook; CXR
48483-2,XR Wrist - bilateral GE 3 Views,XR Wrist-Bl GE 3V,XR,Upper extremity; True; Bilateral,32,Arm; Bil; Bilat; Both; Carpal bone
48484-0,XR Ribs - right GE 3 Views and Chest PA,XR Ribs-R GE 3V + Chest PA,XR,Chest; True; Right,34,1V; CXR; Document; Film; Films
48485-7,XR Ribs - bilateral GE 3 Views and Chest PA,XR Ribs-Bl GE 3V + Chest PA,XR,Chest; True; Bilateral,37,1V; Bil; Bilat; Both; CorePlaybook
48486-5,XR Ribs - left GE 3 Views and Chest PA,XR Ribs-L GE 3V + Chest PA,XR,Chest; True; Left,34,1V; CXR; Document; Film; Films
48487-3,XR Skull GE 4 Views,XR Skull GE 4V,XR,Head,24,Brain; CorePlaybook; Cranial; Cranium; Document
48488-1,XR Mastoid - right 1 or 2 Views,XR Mastoid-R 1V or 2V,XR,True; Right; Head,26,1V or 2V; Brain; Cranial; Cranium; Document
48489-9,XR Mastoid - left 1 or 2 Views,XR Mastoid-L 1V or 2V,XR,True; Left; Head,26,1V or 2V; Brain; Cranial; Cranium; Document
48490-7,XR Temporomandibular joint - right Open and Closed mouth,XR TMJ-R Open+Closed Mouth,XR,True; Right; Head,25,Brain; Cranial; Cranium; Document; Films
48491-5,XR Temporomandibular joint - left Open and Closed mouth,XR TMJ-L Open+Closed Mouth,XR,True; Left; Head,25,Brain; Cranial; Cranium; Document; Films
48492-3,MG Breast - bilateral Screening for implant,MG Brst-Bl screening for implant,MG,Breast; True; Bilateral,23,Asympt; Asymptomatic; Bil; Bilat; Both
48687-8,MR Skull base WO contrast,MR Skull.base WO contr,MR,Head,21,Brain; c; Contr; Contra; Contrst
48688-6,US Upper extremity vein - right,US UE v-R,US,Upper extremity; True; Right,30,Arm; Cardio; Cardiology; Document; Echography
48689-4,US Upper extremity vein - left,US UE v-L,US,Upper extremity; True; Left,30,Arm; Cardio; Cardiology; Document; Echography
48690-2,US Upper extremity vein - bilateral,US UE v-Bl,US,Upper extremity; True; Bilateral,30,Arm; Bil; Bilat; Both; Cardio
48691-0,US Lower extremity vein - right,US LE v-R,US,Lower extremity; True; Right,30,Cardio; Cardiology; Document; Echography; EXT
48692-8,US Lower extremity vein - left,US LE v-L,US,Lower extremity; True; Left,30,Cardio; Cardiology; Document; Echography; EXT
48693-6,US Lower extremity artery,US LE a,US,Lower extremity; Unspecified; True,20,Art; Document; Echography; EXT; Extr a
48694-4,MR Brain.temporal WO and W contrast IV,MR Brain.temporal WO+W contr IV,MR,Head,28,Brain; c; Cerebral; Cerebrum; Contr
48695-1,XR Skull base Single view,XR Skull.base 1V,XR,Head,21,1V; Brain; Cranial; Cranium; Document
48696-9,RF Submandibular gland - right Views W contrast intra salivary duct,RF Submand gland-R Vs W contr intra SD,RF,True; Right; Head,33,Brain; c; Contr; Contra; Contrst
48697-7,XR Skull base Views,XR Skull.base Views,XR,Head,20,Brain; Cranial; Cranium; Document; Films
48698-5,RF Submandibular gland - bilateral Views W contrast intra salivary duct,RF Submand gland-Bl Vs W contr intra SD,RF,True; Bilateral; Head,34,Bil; Bilat; Both; Brain; c
48699-3,XR Temporomandibular joint - unilateral Open and Closed mouth,XR TMJ-Ul Open+Closed Mouth,XR,Unilateral; True; Head,25,Brain; CorePlaybook; Cranial; Cranium; Document
48735-5,MG Guidance for localization of Breast,MG Guided Brst Loc,MG,Breast; Unspecified; True,13,Brst; Document; Finding; Findings; Guid
48736-3,MG Guidance for sentinel lymph node injection of Breast - left,MG Guided Brst-L Sentinel LN inj,MG,Breast; True; Left,18,Brst; Brst-L; Document; Finding; Findings
48737-1,XR Wrist and Hand 3 Views,XR Wrist+Hand 3V,XR,Upper extremity; Unspecified; True,30,3V; 3VW; Arm; Carpal bone; Carpal bones
48738-9,XR Wrist - bilateral and Hand - bilateral 3 Views,XR Wrist+Hand-Bl 3V,XR,Upper extremity; True; Bilateral,38,3V; 3VW; Arm; Bil; Bilat
48739-7,MG Guidance for sentinel lymph node injection of Breast - right,MG Guided Brst-R Sentinel LN inj,MG,Breast; True; Right,18,Brst; Brst-R; Document; Finding; Findings
48740-5,MG Guidance for sentinel lymph node injection of Breast,MG Guided Brst Sentinel LN inj,MG,Breast; Unspecified; True,15,Brst; Document; Finding; Findings; Guid
48742-1,US.doppler Scrotum and testicle,DOP Scrotum+Test,US,Pelvis,25,Document; DOP; DUPLEX; Echography; Finding
48743-9,CT Retroperitoneum WO and W contrast IV,CT Retroperitoneum WO+W contr IV,CT,Abdomen,28,Abd; Abd.reper; Abdo; Abdomen+; Abdominal
48746-2,XR Sacroiliac joint - bilateral GE 3 Views,XR SIJ-Bl GE 3V,XR,Pelvis; True; Bilateral,29,Bil; Bilat; Both; CorePlaybook; Document
48747-0,XR Orbit - bilateral GE 4 Views,XR Orbit-Bl GE 4V,XR,True; Bilateral; Head,30,Bil; Bilat; Both; Brain; CorePlaybook
48748-8,XR Spine Oblique Views,XR Spine Views Obl,XR,XXX,24,Document; Films; Finding; Findings; Imaging
48749-6,XR Thoracic spine Oblique Views,XR T-spine Views Obl,XR,Chest,23,CXR; Document; Dorsal spine; Films; Finding
49118-3,NM Unspecified body region Views,NM Views W RNC IV,NM,,21,Document; Films; Finding; Findings; Imaging
49507-7,MR Unspecified body region W contrast IV,MR W contr IV,MR,,22,c; Contr; Contra; Contrst; Document
49509-3,MG Breast duct - right Single view W contrast intra duct,MG Brst duct-R 1V W contr intra Dct,MG,Breast; Unspecified; True; Right,31,1V; Brst; Brst duct; Brst duct-R; Brst.duct
49510-1,MG Breast duct - left Single view W contrast intra duct,MG Brst duct-L 1V W contr intra Dct,MG,Breast; Unspecified; True; Left,31,1V; Brst; Brst duct; Brst duct-L; Brst.duct
49511-9,RFA Femoral artery Runoff WO and W contrast IA,RFA Fem a Runoff WO+W contr IA,RF,Lower extremity; Unspecified; True,37,1V; Art; Arteriogram; c; Cardio
49512-7,RF Unspecified body region Views,RF Views,RF,,20,Document; Films; Finding; Findings; Fluor
49565-5,MRA Thoracic spine vessels,MRA T-spine ves,MR,Chest,27,Ang; Angio; Angiography; Document; Dorsal spine
49566-3,SPECT Heart at rest and W Tc-99m Sestamibi IV,SPECT Hrt Rest+W Tc99mMIBI IV,NM,Chest,24,99 mTC; 99mTc; Cardiac; Cardiolite; Document
49567-1,SPECT Heart perfusion W adenosine and W Tc-99m Sestamibi IV,SPECT Hrt PF W ADE+Tc99mMIBI IV,NM,Chest,28,99 mTC; 99mTc; ADO; ANED; Cardiac
49568-9,SPECT Heart perfusion at rest and W stress and W Tl-201 IV and W Tc-99m Sestamibi IV,SPECT Hrt PF R+S+W Tl201+Tc99mMIBI IV,NM,Chest,36,201TI; 99 mTC; 99mTc; Cardiac; Cardio
49569-7,SPECT Heart perfusion and wall motion at rest and W stress and W Tl-201 IV and W Tc-99m Sestamibi IV,SPECT Hrt PF+WM R+S+W Tl201+Tc99mMIBI IV,NM,Chest,35,201TI; 99 mTC; 99mTc; Cardiac; Cardiolite
49570-5,XR Ankle - bilateral GE 6 Views,XR Ankle-Bl GE 6V,XR,Lower extremity; True; Bilateral,31,Ankle-Bl; Ankles; Bil; Bilat; Both
49571-3,NM Unspecified body region Limited Views W I-131 MIBG IV,NM Views Ltd W I-131 mIBG IV,NM,,25,131 Iodine; 131I; Document; Films; Finding
50755-8,CT Lower extremity - bilateral W contrast IV,CT LE-Bl W contr IV,CT,Lower extremity; True; Bilateral,27,Bil; Bilat; Both; c; CAT scan
51387-9,XR Knee - bilateral Views and (AP W standing),XR Knee-Bl Views+AP Stand,XR,Lower extremity; True; Bilateral,46,1V; Anterio-Posterior; Anteroposterior; Bil; Bilat
51388-7,XR Wrist - right and Hand - right Views,XR Wrist+Hand-R Views,XR,Upper extremity; True; Right,34,Arm; Carpal bone; Carpal bones; Carpal bones and joint; Document
51389-5,NM Breast Views W Tl-201 IV,NM Brst Views W Tl-201 IV,NM,Breast; Unspecified; True,18,201TI; Brst; Document; Films; Finding
51391-1,RFA Guidance for placement of TIPS of Portal vein and Hepatic vein,RFA Guided Portal v+Hepatic v TIPS place,RF,Abdomen,36,Abd; Abdo; Abdomen+; Abdominal; Cardio
51392-9,XR Wrist - left and Hand - left Views,XR Wrist+Hand-L Views,XR,Upper extremity; True; Left,34,Arm; Carpal bone; Carpal bones; Carpal bones and joint; Document
51394-5,XR Ankle and Foot - right Views,XR Ankle+Foot-R Views,XR,Lower extremity; True; Right,32,Ankle+Foot-R; Ankle-R; Document; EXT; Extr-R
51395-2,XR Ankle and Foot - left Views,XR Ankle+Foot-L Views,XR,Lower extremity; True; Left,31,Ankle+Foot-L; Ankle-L; Document; EXT; Extr-L
52790-3,CT Guidance for percutaneous replacement of drainage catheter of Abdomen,CT Guided Abd PC drain cath replace,CT,Abdomen,25,Abd; Abdo; Abdomen+; Abdominal; CAT scan
52791-1,CT Guidance for percutaneous replacement of drainage catheter of Pelvis,CT Guided Pelvis PC drain cath replace,CT,Pelvis,22,CAT scan; Cath; Computed tomography; Computerized tomography; CT scan
57822-9,PT Lung,PT Lung W RNC IV,PT,Chest; Unspecified; True,21,Document; Finding; Findings; Imaging; Lung
57823-7,PT Esophagus,PT Esophagus W RNC IV,PT,Chest,18,Document; Esophageal; Finding; Findings; Imaging
58740-2,MRCP Abdomen WO contrast,MRCP Abd WO contr,MR,Abdomen,36,Abd; Abdo; Abdomen+; Abdominal; BDs
58741-0,PT Skull base to mid-thigh,PT Skull to thigh W RNC IV,PT,Whole Body,27,bod; Bodies; Cranial; Cranium; Document
58742-8,PT Head and Neck,PT Head+Neck W RNC IV,PT,Head; Neck,21,Brain; Cranial; Cranium; Document; Finding
58743-6,US Guidance for ablation of tissue of Unspecified body region,US Guided Ablation,US,,22,Document; Echography; Finding; Findings; Guid
58744-4,CT Heart,CT Hrt,CT,Chest,15,Cardiac; CAT scan; Computed tomography; Computerized tomography; CT scan
58746-9,RFA AV fistula Views W contrast IV,RFA AVF Views W contr IV,RF,XXX,33,Arteriovenous Fistula; AVF; c; Contr; Contra
58747-7,CT Guidance for ablation of tissue of Unspecified body region,CT Guided Ablation,CT,,21,CAT scan; Computed tomography; Computerized tomography; CT scan; Document
58748-5,Functional MR Brain,fMR Brain,MR,Head,24,Brain; Cerebral; Cerebrum; Cranial; Cranium
58749-3,MR Heart W stress and WO and W contrast IV,MR Hrt W stress+WO+W contr IV,MR,Chest,30,c; Cardiac; Cardio; Cardiology; Contr
58750-1,MR Heart W stress,MR Hrt W Stress,MR,Chest,17,Cardiac; Cardio; Cardiology; Document; Exercise
60515-4,CT Colon and Rectum W air contrast PR,CT Colon+Rect W Air contr PR,CT,Abdomen; Pelvis,27,Abd; Abd+Pelvis; Abdo; Abdominal; c
60527-9,NM Thyroid gland Views and Views uptake W I-123 PO,NM Thyroid Views+views uptake W I-123 PO,NM,Neck,15,123I; Document; Films; Finding; Findings
62446-0,RFA Renal artery - left Views W contrast IA,RFA Renal a-L Views W contr IA,RF,True; Abdomen; Left,34,Abd; Abdo; Abdomen+; Abdominal; Art
62447-8,RFA Renal artery - right Views W contrast IA,RFA Renal a-R Views W contr IA,RF,True; Abdomen; Right,34,Abd; Abdo; Abdomen+; Abdominal; Art
62448-6,RFA Head artery - left and Neck artery - left Views W contrast IA,RFA Head a+Neck a-L Views W contr IA,RF,True; Left; Head; Neck,36,Art; Arteriogram; Brain; c; Cardio
62449-4,RFA Head artery - right and Neck artery - right Views W contrast IA,RFA Head a+Neck a-L-R Views W contr IA,RF,True; Right; Head; Neck,36,Art; Arteriogram; Brain; c; Cardio
62450-2,RF Guidance for placement of catheter in Peritoneum,RF Guided Peritoneum Cath place,RF,Abdomen,21,Abd; Abdo; Abdomen+; Abdominal; Cath
62451-0,US Extremity - left limited,US Extr-L Ltd,US,Extremity; True; Left,19,Document; Echography; EXT; Extr-L; Finding
62452-8,US Extremity - right limited,US Extr-R Ltd,US,Extremity; True; Right,19,Document; Echography; EXT; Extr-R; Finding
